source name,impact category,estimate,LCIA method,valuation approach,MVC,currency,reference year,impact unit
Alberici et al. (2014),climate change,central,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",damage cost,4.3e-02,Euro,2012,kg CO2 eq
Alberici et al. (2014),ozone depletion,central,"ReCiPe Midpoint (H) V1.13, ozone depletion, ODPinf",damage cost,1.07e+02,Euro,2012,kg CFC-11 eq
Alberici et al. (2014),human toxicity,central,"ReCiPe Midpoint (H) V1.13, human toxicity, HTPinf",damage cost,4e-02,Euro,2012,kg 1-4 DB eq
Alberici et al. (2014),particulate matter formation,central,"ReCiPe Midpoint (H) V1.13, particulate matter formation, PMFP",damage cost,1.5e+01,Euro,2012,kg PM10 eq
Alberici et al. (2014),ionizing radiation,central,"ReCiPe Midpoint (H) V1.13, ionising radiation, IRP_HE",damage cost,1.0e-03,Euro,2012,kBq U235 eq
Alberici et al. (2014),photochemical oxidant formation,central,"ReCiPe Midpoint (H) V1.13, photochemical oxidant formation, POFP",damage cost,2.30e-03,Euro,2012,kg NMVOC eq
Alberici et al. (2014),acidification,central,"ReCiPe Midpoint (H) V1.13, terrestrial acidification, TAP100",damage cost,2.0e-01,Euro,2012,kg SO2 eq
Alberici et al. (2014),eutrophication: freshwater,central,"ReCiPe Midpoint (H) V1.13, freshwater eutrophication, FEP",damage cost,2.0e-01,Euro,2012,kg P eq
Alberici et al. (2014),eutrophication: marine,central,"ReCiPe Midpoint (H) V1.13, marine eutrophication, MEP",damage cost,1.8e+00,Euro,2012,kg N eq
Alberici et al. (2014),ecotoxicity: freshwater,central,,damage cost,2.95e-12,Euro,2012,species*yr*m3
Alberici et al. (2014),ecotoxicity: marine,central,,damage cost,5.68e-17,Euro,2012,species*yr*m3
Alberici et al. (2014),ecotoxicity: terrestrial,central,,damage cost,1.04e-09,Euro,2012,species*yr*m2
Alberici et al. (2014),water use,central,"ReCiPe Midpoint (H) V1.13, water depletion, WDP",market price,2e-01,Euro,2012,m3
Alberici et al. (2014),fossil resources,central,"ReCiPe Midpoint (H) V1.13, fossil depletion, FDP",market price,5e-02,Euro,2012,kg oil eq
Alberici et al. (2014),metal/mineral resources,central,"ReCiPe Midpoint (H) V1.13, metal depletion, MDP",market price,7e-02,Euro,2012,kg Fe eq
Alberici et al. (2014),land use: natural land transformation,central,"ReCiPe Midpoint (H) V1.13, natural land transformation, NLTP",damage cost,3.6,Euro,2012,m2
Alberici et al. (2014),land use: agricultural land occupation,central,"ReCiPe Midpoint (H) V1.13, agricultural land occupation, ALOP",damage cost,9e-02,Euro,2012,m2*yr
Alberici et al. (2014),land use: urban land occupation,central,"ReCiPe Midpoint (H) V1.13, urban land occupation, ULOP",damage cost,1e-01,Euro,2012,m2*yr
van Essen et al. (2019),climate change,central,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",abatement cost,1.05e-01,Euro,2019,kg CO2 eq
van Essen et al. (2019),photochemical oxidant formation,central,"ReCiPe Midpoint (H) V1.13, photochemical oxidant formation, POFP",damage cost,1.18e+00,Euro,2019,kg NMVOC eq
Weidema et al. (2009),acidification,central,"EDIP 2003, acidification, acidification",budget constraint,7.7e-03,Euro,2003,m2 UES
Weidema et al. (2009),"ecotoxicity: aquatic",central,"IMPACT 2002+ (Endpoint), ecosystem quality, aquatic ecotoxicity",budget constraint,1.94e+03,Euro,2003,points
Weidema et al. (2009),"ecotoxicity: terrestrial",central,"IMPACT 2002+ (Endpoint), ecosystem quality, terrestrial ecotoxicity",budget constraint,3.93e-02,Euro,2003,points
Weidema et al. (2009),"eutrophication: aquatic",central,"EDIP 2003, eutrophication, combined potential",budget constraint,0.1,Euro,2003,kg NO3 eq
Weidema et al. (2009),"eutrophication: terrestrial",central,"EDIP 2003, eutrophication, terrestrial eutrophication",budget constraint,1.3e-02,Euro,2003,m2 UES
Weidema et al. (2009),climate change,central,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",budget constraint,8.3e-02,Euro,2003,kg CO2 eq
Weidema et al. (2009),human toxicity,central,"IMPACT 2002+ (Endpoint), human health, human toxicity",budget constraint,6.84e+02,Euro,2003,points
Weidema et al. (2009),"injuries, road/work",central,,budget constraint,4.2e+06,Euro,2003,fatal injuries eq
Weidema et al. (2009),ionizing radiation,central,"IMPACT 2002+ (Endpoint), human health, ionising radiation",budget constraint,6.76e-01,Euro,2003,points
Weidema et al. (2009),metal/mineral resources,central,"IMPACT 2002+ (Endpoint), resources, mineral extraction",budget constraint,6.08e+02,Euro,2003,points
Weidema et al. (2009),land use,central,"IMPACT 2002+ (Endpoint), ecosystem quality, land occupation",budget constraint,1.64e+03,Euro,2003,points
Weidema et al. (2009),ozone depletion,central,"IMPACT 2002+ (Endpoint), human health, ozone layer depletion",budget constraint,100,Euro,2003,points
Weidema et al. (2009),photochemical oxidant formation: terrestrial ecosystems,central,"EDIP 2003, photochemical ozone formation, impacts on vegetation",budget constraint,3.7e-04,Euro,2003,m2*ppm*h
Weidema et al. (2009),particulate matter formation,central,"IMPACT 2002+ (Endpoint), human health, respiratory effects (inorganics)",budget constraint,6.90e+02,Euro,2003,points
Weidema et al. (2009),photochemical oxidant formation: human health,central,"EDIP 2003, photochemical ozone formation, impacts on human health",budget constraint,0.26,Euro,2003,pers*ppm*h
"Goedkoop et al. (2013), individualist",fossil resources,central,"ReCiPe Midpoint (H) V1.13, fossil depletion, FDP",market price,4.13e-02,Euro,2019,kg oil eq
"Goedkoop et al. (2013), hierarchical/egalitarian",fossil resources,central,"ReCiPe Midpoint (H) V1.13, fossil depletion, FDP",market price,1.32e-01,Euro,2019,kg oil eq
"Goedkoop et al. (2013), individualist",metal/mineral resources,central,"ReCiPe Midpoint (H) V1.13, metal depletion, MDP",market price,5.7e-02,Euro,2019,kg Fe eq
Finnveden et al. (2006),climate change,central,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",revealed preferences,8.53e-02,Euro,2019,kg CO2eq
Finnveden et al. (2006),ozone depletion,central,"CML v4.8 2016, ozone depletion, ozone layer depletion (ODP steady state)",revealed preferences,1.62e+02,Euro,2019,kg CFC-11 eq
Finnveden et al. (2006),human toxicity,central,"ReCiPe Midpoint (H) V1.13, human toxicity, HTPinf",revealed preferences,2.03e-01,Euro,2019,kg 1-4 DB eq
Finnveden et al. (2006),ecotoxicity: terrestrial,central,"ReCiPe Midpoint (H) V1.13, terrestrial ecotoxicity, TETPinf",revealed preferences,2.39e+01,Euro,2019,kg 1-4 DB eq
Finnveden et al. (2006),ecotoxicity: marine,min,"ReCiPe Midpoint (H) V1.13, marine ecotoxicity, METPinf",revealed preferences,1.8e-06,Euro,2019,kg 1-4 DB eq
Finnveden et al. (2006),ecotoxicity: marine,max,"ReCiPe Midpoint (H) V1.13, marine ecotoxicity, METPinf",revealed preferences,8.21e-02,Euro,2019,kg 1-4 DB eq
Finnveden et al. (2006),ecotoxicity: freshwater,min,"ReCiPe Midpoint (H) V1.13, freshwater ecotoxicity, FETPinf",revealed preferences,8.24,Euro,2019,kg 1-4 DB eq
Finnveden et al. (2006),ecotoxicity: freshwater,max,"ReCiPe Midpoint (H) V1.13, freshwater ecotoxicity, FETPinf",revealed preferences,1.68e+01,Euro,2019,kg 1-4 DB eq
Finnveden et al. (2006),acidification,central,"CML v4.8 2016, acidification, acidification (incl. fate, average Europe total, A&B)",revealed preferences,2.44,Euro,2019,kg SO2 eq
Finnveden et al. (2006),eutrophication,central,"CML v4.8 2016, eutrophication, eutrophication (fate not incl.)",revealed preferences,3.87,Euro,2019,kg PO4 eq
Finnveden et al. (2006),photochemical oxidant formation,min,"CML v4.8 2016, photochemical oxidant formation, photochemical oxidation (high NOx)",revealed preferences,6.5,Euro,2019,kg ethylene eq
Finnveden et al. (2006),photochemical oxidant formation,max,"CML v4.8 2016, photochemical oxidant formation, photochemical oxidation (high NOx)",revealed preferences,6.5e+01,Euro,2019,kg ethylene eq
Finnveden et al. (2006),fossil resources,min,"CML v4.8 2016, energy resources: non-renewable, abiotic depletion potential (ADP): fossil fuels",revealed preferences,0,Euro,2019,MJ
Finnveden et al. (2006),fossil resources,max,"CML v4.8 2016, energy resources: non-renewable, abiotic depletion potential (ADP): fossil fuels",revealed preferences,2.0e-02,Euro,2019,MJ
Ahlroth and Finnveden (2011),climate change,min,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",market price,1.28e-02,Euro,2019,kg CO2 eq
Ahlroth and Finnveden (2011),climate change,max,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",market price,2.55e-01,Euro,2019,kg CO2 eq
Ahlroth and Finnveden (2011),human toxicity,min,"ReCiPe Midpoint (H) V1.13, human toxicity, HTPinf",contingent valuation (willingness to pay),5.1e-04,Euro,2019,kg 1-4 DB eq
Ahlroth and Finnveden (2011),human toxicity,max,"ReCiPe Midpoint (H) V1.13, human toxicity, HTPinf",contingent valuation (willingness to pay),1.53,Euro,2019,kg 1-4 DB eq
Ahlroth and Finnveden (2011),photochemical oxidant formation,min,"CML v4.8 2016, photochemical oxidant formation, photochemical oxidation (high NOx)",mixed approach,1.79,Euro,2019,kg ethylene eq
Ahlroth and Finnveden (2011),photochemical oxidant formation,max,"CML v4.8 2016, photochemical oxidant formation, photochemical oxidation (high NOx)",mixed approach,5.1,Euro,2019,kg ethylene eq
Ahlroth and Finnveden (2011),acidification,central,"CML v4.8 2016, acidification, acidification (incl. fate, average Europe total, A&B)",contingent valuation (willingness to pay),3.83,Euro,2019,kg SO2 eq
Ahlroth and Finnveden (2011),eutrophication,central,"CML v4.8 2016, eutrophication, eutrophication (fate not incl.)",contingent valuation (willingness to pay),2.78e+01,Euro,2019,kg PO4 eq
Ahlroth and Finnveden (2011),fossil resources,min,"CML v4.8 2016, energy resources: non-renewable, abiotic depletion potential (ADP): fossil fuels",market price,5.1e-04,Euro,2019,MJ
Ahlroth and Finnveden (2011),fossil resources,max,"CML v4.8 2016, energy resources: non-renewable, abiotic depletion potential (ADP): fossil fuels",market price,3.1e-02,Euro,2019,MJ
Davidson et al. (2005),climate change,central,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",abatement cost,5e-02,Euro,2008,kg CO2 eq
Davidson et al. (2005),ozone depletion,central,"CML v4.8 2016, ozone depletion, ozone layer depletion (ODP steady state)",abatement cost,3.0e+01,Euro,2008,kg CFC-11 eq
Davidson et al. (2005),photochemical oxidant formation,central,"CML v4.8 2016, photochemical oxidant formation, photochemical oxidation (high NOx)",abatement cost,2,Euro,2008,kg ethylene eq
Davidson et al. (2005),acidification,central,"CML v4.8 2016, acidification, acidification (incl. fate, average Europe total, A&B)",abatement cost,4,Euro,2008,kg SO2 eq
Davidson et al. (2005),eutrophication,central,"CML v4.8 2016, eutrophication, eutrophication (fate not incl.)",abatement cost,9,Euro,2008,kg PO4 eq
Eco-costs 2023,climate change,central,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",prevention cost,0.123,Euro,2023,kg CO2 eq
Eco-costs 2023,acidification,central,"EF v3.1, acidification, accumulated exceedance (AE)",prevention cost,7.08,Euro,2023,mol H+ eq
Eco-costs 2023,ozone depletion,central,"EF v3.1, ozone depletion, ozone depletion potential (ODP)",prevention cost,1.20e+02,Euro,2023,kg CFC-11 eq
Eco-costs 2023,eutrophication: freshwater,central,"EF v3.1, eutrophication: freshwater, fraction of nutrients reaching freshwater end compartment (P)",prevention cost,1.532e+01,Euro,2023,kg P eq
Eco-costs 2023,photochemical oxidant formation: human health,central,"ReCiPe 2016 v1.03, midpoint (H), photochemical oxidant formation: human health, photochemical oxidant formation potential: humans (HOFP)",prevention cost,5.67,Euro,2023,kg NOx eq
Eco-costs 2023,photochemical oxidant formation: terrestrial ecosystems,central,"ReCiPe 2016 v1.03, midpoint (H), photochemical oxidant formation: terrestrial ecosystems, photochemical oxidant formation potential: ecosystems (EOFP)",prevention cost,5.67,Euro,2023,kg NOx eq
Eco-costs 2023,particulate matter formation,central,"ReCiPe 2016 v1.03, midpoint (H), particulate matter formation, particulate matter formation potential (PMFP)",prevention cost,3.71e+01,Euro,2023,kg PM2.5 eq
Eco-costs 2023,ecotoxicity: freshwater,central,"EF v3.1, ecotoxicity: freshwater, comparative toxic unit for ecosystems (CTUe)",prevention cost,1.33e-02,Euro,2023,CTUe
Eco-costs 2023,human toxicity: carcinogenic,central,"EF v3.1, human toxicity: carcinogenic, comparative toxic unit for human (CTUh)",prevention cost,9.2e+05,Euro,2023,CTUh
Eco-costs 2023,human toxicity: non-carcinogenic,central,"EF v3.1, human toxicity: non-carcinogenic, comparative toxic unit for human (CTUh)",prevention cost,2.16e+05,Euro,2023,CTUh
Eco-costs 2023,metal/mineral resources,central,"Eco-costs, Material scarcity, VAR(95)",supply risk,1,Euro,2023,EUR2023
Eco-costs 2023,water use,central,"ReCiPe 2016 v1.03, midpoint (H), water use, water consumption potential (WCP)",prevention cost,0.21,Euro,2023,m3
"Shadow prices, abatement",climate change,central,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",abatement cost,2.5e-02,Euro,2008,kg CO2 eq
"Shadow prices, damage",climate change,central,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",damage cost,2.5e-02,Euro,2008,kg CO2 eq
"Shadow prices, abatement",acidification,central,"ReCiPe Midpoint (H) V1.13, terrestrial acidification, TAP100",abatement cost,5.94e-01,Euro,2008,kg SO2 eq
"Shadow prices, damage",acidification,central,"ReCiPe Midpoint (H) V1.13, terrestrial acidification, TAP100",damage cost,6.38e-01,Euro,2008,kg SO2 eq
"Shadow prices, abatement",ozone depletion,central,"ReCiPe Midpoint (H) V1.13, ozone depletion, ODPinf",abatement cost,3.00e+01,Euro,2008,kg CFC-11 eq
"Shadow prices, damage",ozone depletion,central,"ReCiPe Midpoint (H) V1.13, ozone depletion, ODPinf",damage cost,3.91e+01,Euro,2008,kg CFC-11 eq
"Shadow prices, abatement",photochemical oxidant formation,central,"ReCiPe Midpoint (H) V1.13, photochemical oxidant formation, POFP",abatement cost,5,Euro,2008,kg NMVOC eq
"Shadow prices, damage",photochemical oxidant formation,central,"ReCiPe Midpoint (H) V1.13, photochemical oxidant formation, POFP",damage cost,5.85e-01,Euro,2008,kg NMVOC eq
"Shadow prices, abatement",particulate matter formation,central,"ReCiPe Midpoint (H) V1.13, particulate matter formation, PMFP",abatement cost,5e+01,Euro,2008,kg PM10 eq
"Shadow prices, damage",particulate matter formation,central,"ReCiPe Midpoint (H) V1.13, particulate matter formation, PMFP",damage cost,5.15e+01,Euro,2008,kg PM10 eq
"Shadow prices, abatement",eutrophication: freshwater,central,"ReCiPe Midpoint (H) V1.13, freshwater eutrophication, FEP",abatement cost,1.09e+01,Euro,2008,kg P eq
"Shadow prices, damage",eutrophication: freshwater,central,"ReCiPe Midpoint (H) V1.13, freshwater eutrophication, FEP",damage cost,1.78,Euro,2008,kg P eq
"Shadow prices, abatement",eutrophication: marine,central,"ReCiPe Midpoint (H) V1.13, marine eutrophication, MEP",abatement cost,7.00,Euro,2008,kg N eq
"Shadow prices, damage",eutrophication: terrestrial,central,"EF v3.1, eutrophication: terrestrial, accumulated exceedance (AE)",damage cost,0.175,Euro,2008,mol N eq
"Shadow prices, damage",human toxicity,central,"ReCiPe Midpoint (H) V1.13, human toxicity, HTPinf",damage cost,2.06e-02,Euro,2008,kg 1-4 DB eq
"Shadow prices, damage",ionizing radiation,central,"ReCiPe Midpoint (H) V1.13, ionising radiation, IRP_HE",damage cost,4.25e-02,Euro,2008,kg U235 eq
"Shadow prices, damage",land use,central,"ReCiPe Midpoint (H) V1.13, agricultural land occupation, ALOP",damage cost,6.12e-01,Euro,2008,m2*year
"Shadow prices, damage",fossil resources,central,"ReCiPe Midpoint (H) V1.13, fossil depletion, FDP",damage cost,0.0,Euro,2008,kg oil eq
"Environmental prices, 2018, EU",climate change,min,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",mixed approach,2.18e-02,Euro,2015,kg CO2 eq
"Environmental prices, 2018, EU",climate change,central,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",mixed approach,5.66e-02,Euro,2015,kg CO2 eq
"Environmental prices, 2018, EU",climate change,max,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",mixed approach,9.44e-02,Euro,2015,kg CO2 eq
"Environmental prices, 2018, EU",ozone depletion,min,"ReCiPe Midpoint (H) V1.13, ozone depletion, ODPinf",damage cost,2.21e+01,Euro,2015,kg CFC-11 eq
"Environmental prices, 2018, EU",ozone depletion,central,"ReCiPe Midpoint (H) V1.13, ozone depletion, ODPinf",damage cost,3.04e+01,Euro,2015,kg CFC-11 eq
"Environmental prices, 2018, EU",ozone depletion,max,"ReCiPe Midpoint (H) V1.13, ozone depletion, ODPinf",damage cost,4.57e+01,Euro,2015,kg CFC-11 eq
"Environmental prices, 2018, EU",human toxicity,min,"ReCiPe Midpoint (H) V1.13, human toxicity, HTPinf",damage cost,7.25e-02,Euro,2015,kg 1-4 DB eq
"Environmental prices, 2018, EU",human toxicity,central,"ReCiPe Midpoint (H) V1.13, human toxicity, HTPinf",damage cost,9.91e-02,Euro,2015,kg 1-4 DB eq
"Environmental prices, 2018, EU",human toxicity,max,"ReCiPe Midpoint (H) V1.13, human toxicity, HTPinf",damage cost,1.53e-01,Euro,2015,kg 1-4 DB eq
"Environmental prices, 2018, EU",photochemical oxidant formation,min,"ReCiPe Midpoint (H) V1.13, photochemical oxidant formation, POFP",damage cost,8.4e-01,Euro,2015,kg NMVOC eq
"Environmental prices, 2018, EU",photochemical oxidant formation,central,"ReCiPe Midpoint (H) V1.13, photochemical oxidant formation, POFP",damage cost,1.15,Euro,2015,kg NMVOC eq
"Environmental prices, 2018, EU",photochemical oxidant formation,max,"ReCiPe Midpoint (H) V1.13, photochemical oxidant formation, POFP",damage cost,1.84,Euro,2015,kg NMVOC eq
"Environmental prices, 2018, EU",particulate matter formation,min,"ReCiPe Midpoint (H) V1.13, particulate matter formation, PMFP",damage cost,2.8e+01,Euro,2015,kg PM10 eq
"Environmental prices, 2018, EU",particulate matter formation,central,"ReCiPe Midpoint (H) V1.13, particulate matter formation, PMFP",damage cost,3.92e+01,Euro,2015,kg PM10 eq
"Environmental prices, 2018, EU",particulate matter formation,max,"ReCiPe Midpoint (H) V1.13, particulate matter formation, PMFP",damage cost,6.04e+01,Euro,2015,kg PM10 eq
"Environmental prices, 2018, EU",ionizing radiation,min,"ReCiPe Midpoint (H) V1.13, ionising radiation, IRP_HE",damage cost,2.97e-02,Euro,2015,kg kBq U235 eq
"Environmental prices, 2018, EU",ionizing radiation,central,"ReCiPe Midpoint (H) V1.13, ionising radiation, IRP_HE",damage cost,4.61e-02,Euro,2015,kg kBq U235 eq
"Environmental prices, 2018, EU",ionizing radiation,max,"ReCiPe Midpoint (H) V1.13, ionising radiation, IRP_HE",damage cost,5.98e-02,Euro,2015,kg kBq U235 eq
"Environmental prices, 2018, EU",acidification,min,"ReCiPe Midpoint (H) V1.13, terrestrial acidification, TAP100",damage cost,5.26e-01,Euro,2015,kg SO2 eq
"Environmental prices, 2018, EU",acidification,central,"ReCiPe Midpoint (H) V1.13, terrestrial acidification, TAP100",damage cost,4.97,Euro,2015,kg SO2 eq
"Environmental prices, 2018, EU",acidification,max,"ReCiPe Midpoint (H) V1.13, terrestrial acidification, TAP100",damage cost,5.66,Euro,2015,kg SO2 eq
"Environmental prices, 2018, EU",eutrophication: freshwater,min,"ReCiPe Midpoint (H) V1.13, freshwater eutrophication, FEP",damage cost,2.5e-01,Euro,2015,kg P eq
"Environmental prices, 2018, EU",eutrophication: freshwater,central,"ReCiPe Midpoint (H) V1.13, freshwater eutrophication, FEP",damage cost,1.86,Euro,2015,kg P eq
"Environmental prices, 2018, EU",eutrophication: freshwater,max,"ReCiPe Midpoint (H) V1.13, freshwater eutrophication, FEP",damage cost,2.11,Euro,2015,kg P eq
"Environmental prices, 2018, EU",eutrophication: marine,central,"ReCiPe Midpoint (H) V1.13, marine eutrophication, MEP",abatement cost,3.11,Euro,2015,kg N eq
"Environmental prices, 2018, EU",land use,min,"ReCiPe Midpoint (H) V1.13, agricultural land occupation, ALOP",damage cost,2.55e-02,Euro,2015,m2*year
"Environmental prices, 2018, EU",land use,central,"ReCiPe Midpoint (H) V1.13, agricultural land occupation, ALOP",damage cost,8.45e-02,Euro,2015,m2*year
"Environmental prices, 2018, EU",land use,max,"ReCiPe Midpoint (H) V1.13, agricultural land occupation, ALOP",damage cost,6.85e-01,Euro,2015,m2*year
"Environmental prices, 2018, EU",ecotoxicity: terrestrial,min,"ReCiPe Midpoint (H) V1.13, terrestrial ecotoxicity, TETPinf",damage cost,1.17,Euro,2015,kg 1-4 DB eq
"Environmental prices, 2018, EU",ecotoxicity: terrestrial,central,"ReCiPe Midpoint (H) V1.13, terrestrial ecotoxicity, TETPinf",damage cost,8.69,Euro,2015,kg 1-4 DB eq
"Environmental prices, 2018, EU",ecotoxicity: terrestrial,max,"ReCiPe Midpoint (H) V1.13, terrestrial ecotoxicity, TETPinf",damage cost,9.85,Euro,2015,kg 1-4 DB eq
"Environmental prices, 2018, EU",ecotoxicity: freshwater,min,"ReCiPe Midpoint (H) V1.13, freshwater ecotoxicity, FETPinf",damage cost,4.85e-03,Euro,2015,kg 1-4 DB eq
"Environmental prices, 2018, EU",ecotoxicity: freshwater,central,"ReCiPe Midpoint (H) V1.13, freshwater ecotoxicity, FETPinf",damage cost,3.61e-02,Euro,2015,kg 1-4 DB eq
"Environmental prices, 2018, EU",ecotoxicity: freshwater,max,"ReCiPe Midpoint (H) V1.13, freshwater ecotoxicity, FETPinf",damage cost,4.09e-02,Euro,2015,kg 1-4 DB eq
"Environmental prices, 2018, EU",ecotoxicity: marine,min,"ReCiPe Midpoint (H) V1.13, marine ecotoxicity, METPinf",damage cost,9.92e-04,Euro,2015,kg 1-4 DB eq
"Environmental prices, 2018, EU",ecotoxicity: marine,central,"ReCiPe Midpoint (H) V1.13, marine ecotoxicity, METPinf",damage cost,7.39e-03,Euro,2015,kg 1-4 DB eq
